,carat,cut,color,clarity,depth,table,x,price
98,0.72,Very Good,I,SI1,63.2,57,5.71,2345
99,0.51,Ideal,G,VS2,61.8,55,5.15,1557
100,0.5,Good,G,SI1,63.9,57,5.02,1197
101,1.02,Fair,J,SI1,66.8,55,6.25,3027
102,0.7,Fair,E,SI1,65.2,58,5.57,2318
103,1.69,Ideal,F,VS2,62.2,57,7.59,16789
104,1.3,Premium,G,VVS1,60.5,60,7.01,11061
105,0.31,Ideal,D,VS1,61.1,55,4.37,774
106,1.22,Ideal,G,VS1,60.7,57,6.93,9002
107,1,Premium,F,VVS2,60.6,54,6.56,8924
108,0.28,Very Good,G,SI1,62,55,4.2,382
109,1.01,Good,E,SI1,64.3,59,6.31,4766
110,0.41,Very Good,H,VVS2,62,56,4.77,873
111,0.55,Very Good,E,SI1,59.7,60,5.31,1559
112,1.39,Premium,G,VS2,62,56,7.18,8874
113,0.36,Very Good,H,SI2,61.2,55,4.59,475
114,0.23,Very Good,E,VVS2,60,56,4.03,530
115,1.37,Premium,G,VS2,61.6,59,7.11,7951
116,0.31,Ideal,E,VVS1,60.2,61,4.4,865
117,0.81,Premium,F,SI1,61.9,59,5.97,3043
118,1,Premium,F,SI1,,59,6.4,5292
119,0.31,Ideal,G,VVS1,61.2,56,4.38,1046
120,2.02,Very Good,J,SI2,62.4,55,8.05,11757
121,0.34,Ideal,H,IF,61.7,56,4.5,863
122,0.3,Ideal,G,VVS1,61.3,56,4.3,789
123,1.68,Premium,F,SI1,60.7,62,7.72,12681
124,0.77,Ideal,E,SI2,60.7,55,6.01,2834
125,2.8,Premium,I,SI2,61.1,59,9.03,15030
126,0.9,Premium,I,VS2,61.2,62,6.19,3338
127,0.76,Very Good,E,SI1,63,59,5.76,2668
128,0.55,Premium,G,SI2,60.3,58,5.35,1186
129,0.31,Fair,G,VVS2,65.5,58,4.25,629
130,0.4,Premium,D,SI2,60.4,59,4.8,666
131,1.56,Premium,G,VS2,61.9,58,7.44,13299
132,0.3,Ideal,G,VVS2,62.7,57,4.26,684
133,0.31,Ideal,E,VS1,61.8,56,4.34,942
134,0.31,Ideal,E,VVS1,61.3,56,4.38,1105
135,0.3,Ideal,H,VS1,61.6,55,4.27,526
136,2.2,Ideal,G,SI2,59.9,57,8.54,14691
137,0.73,Very Good,E,VS1,62.1,60,5.71,3353
138,0.9,Good,H,VS2,61.5,61,6.15,4156
139,0.75,Ideal,F,VS2,62.1,57,5.8,3081
140,0.5,Very Good,D,SI1,60.3,59,5.11,1415
141,0.4,Ideal,E,VS2,61.4,57,4.78,1150
142,0.41,Ideal,D,VVS2,62.3,57,4.76,1356
143,0.41,Premium,E,VS1,62.3,59,4.74,1079
144,0.36,Premium,J,SI1,61.3,60,4.59,541
145,1.71,Ideal,G,VS1,63,56,7.65,17009
146,1.02,Premium,H,SI1,60.3,59,6.5,4558
147,0.59,Very Good,F,SI1,61.7,57,5.39,1412
148,0.9,Very Good,D,VS2,63,62,6.06,4668
149,1.11,Premium,E,SI2,,61,6.66,4177
150,0.9,Very Good,F,SI1,62.5,62,6.08,3950
151,0.92,Very Good,E,VS1,60.9,61,6.22,5453
152,1.45,Very Good,J,VS2,62.8,57,7.14,6671
153,1.16,Ideal,I,VS2,61.5,57,6.78,5302
154,1.01,Premium,E,SI2,61.6,56,6.45,4751
155,0.7,Ideal,D,VVS2,60.9,59,5.69,3737
156,0.32,Ideal,G,IF,61.4,55,4.42,898
157,0.91,Very Good,G,SI2,60,57,6.27,3531
158,0.58,Ideal,D,SI2,62.7,56,5.32,1442
159,0.51,Ideal,E,SI1,62.4,55,5.14,1443
160,0.31,Ideal,F,VS2,62.6,57,4.27,625
161,0.97,Ideal,G,SI2,62.7,57,6.31,4101
162,1.03,Ideal,J,SI2,62.4,56,6.44,4054
163,0.3,Good,E,VVS2,59.8,64,4.34,814
164,1,Very Good,F,VS2,,55,6.39,6340
165,0.5,Very Good,E,VS1,63.9,55,4.98,1604
166,0.59,Ideal,I,VVS1,61.2,56,5.42,2049
167,0.26,Very Good,E,VS2,60.4,58,4.15,452
168,1,Good,D,VS1,64,58,6.27,6250
169,0.9,Very Good,D,SI1,61,63,6.13,4304
170,0.31,Ideal,D,SI1,62,55,4.36,571
171,1.53,Very Good,F,SI1,58.5,59,7.55,11713
172,0.81,Ideal,F,SI1,61.9,57,5.98,2977
173,0.32,Very Good,F,VS2,61.4,58,4.37,556
174,0.7,Very Good,F,SI1,60.3,57,5.73,2343
175,1,Fair,F,VS2,68.3,58,5.98,4312
176,0.34,Very Good,G,VS1,60.4,61,4.48,686
177,0.71,Ideal,G,SI1,62.5,57,5.72,2215
178,0.5,Fair,E,SI1,66.5,58,4.87,1098
179,0.32,Ideal,E,VVS2,62,54,4.41,790
180,1.63,Ideal,I,SI1,61.3,56,7.64,9694
181,0.96,Ideal,F,VS1,61.2,56,6.34,5767
182,1.24,Premium,H,SI2,61.2,57,7.02,5694
183,0.51,Very Good,H,VS1,62.3,57,5.1,1628
184,0.4,Good,H,VS2,63.1,62,4.75,717
185,1.21,Very Good,I,SI1,63.3,60,6.76,4404
186,0.43,Ideal,E,SI1,,56,4.82,975
187,0.72,Ideal,F,SI1,61.7,55,5.74,2470
188,0.75,Very Good,I,SI1,63.7,56,5.73,2300
189,0.42,Ideal,G,VVS2,60.6,56,4.86,933
190,0.9,Ideal,E,SI1,61.7,57,6.21,4940
191,0.32,Ideal,D,VS2,61.7,54,4.38,758
192,0.39,Premium,E,VS2,62.5,60,4.64,889
193,1.01,Very Good,I,SI2,63.2,58,6.34,3309
194,0.61,Ideal,F,VVS2,61.7,55,5.45,2833
195,0.54,Ideal,F,VVS2,61.8,55,5.27,2333
196,0.71,Ideal,E,VS2,62,55,5.72,3421
197,1.01,Very Good,G,VS1,58.8,58,6.52,6777
198,0.24,Ideal,F,VVS2,61.6,54,4,552
199,0.24,Ideal,F,VVS1,61.8,55,4,678
200,0.58,Premium,F,VS2,62.2,55,5.4,1586
201,1.01,Good,E,SI2,63.7,55,6.38,4118
202,0.9,Very Good,J,SI1,63.6,57,6.07,3225
203,0.72,Ideal,G,SI2,61.5,55,5.79,2420
204,0.7,Very Good,G,VS2,63.1,55,5.64,2657
205,2.01,Premium,G,SI2,59.4,58,8.19,15562
206,0.51,Very Good,G,VS2,62.4,62,5.07,1438
207,1.2,Premium,E,VS2,62.2,59,6.82,8602
208,1.24,Ideal,G,VS2,62,57,6.87,9188
209,1.26,Very Good,G,SI1,63.2,61,6.87,7000
210,0.33,Ideal,F,VS2,61.3,56,4.43,666
211,0.58,Ideal,E,SI1,61.6,55,5.33,1636
212,0.41,Ideal,G,VS1,61.9,57,4.81,961
213,1.19,Ideal,G,VVS2,60.8,59,6.84,9524
214,0.9,Very Good,G,SI2,61.1,55,6.21,3445
215,1.52,Premium,I,SI1,61.9,58,7.42,8631
216,1.5,Very Good,F,VS1,60.5,55,7.39,15585
217,1.22,Ideal,I,SI1,62.3,58,6.8,6398
218,0.3,Very Good,G,IF,62.9,58,4.21,895
219,1,Very Good,E,VS1,63,56,6.39,7453
220,0.24,Very Good,H,VVS2,61.4,57,4.02,449
221,1.01,Very Good,E,VS2,63.4,60,6.37,6787
222,1.7,Ideal,J,SI2,60.5,57,7.74,8505
223,0.55,Premium,E,VS2,61.4,57,5.29,1881
224,0.34,Very Good,E,SI1,60.3,57,4.53,596
225,0.44,Ideal,D,VVS1,61,57,4.91,2290
226,0.79,Ideal,D,SI1,61.1,57,5.94,3209
227,0.67,Good,F,VS1,59.8,60.3,5.62,2479
228,0.31,Premium,H,SI1,61,61,4.39,558
229,1.22,Ideal,H,SI1,61.9,55,6.82,7870
230,1.5,Good,H,SI2,59.8,61,7.39,6798
231,0.9,Ideal,G,SI2,62.5,56,6.15,3521
232,0.38,Ideal,F,VS2,62.2,54,4.64,870
233,1.01,Ideal,G,VS1,61.8,57,6.45,6618
234,0.3,Ideal,F,VVS2,61.7,56,4.32,694
235,0.71,Good,E,SI2,58.8,63,5.75,2120
236,1.21,Premium,H,IF,62.2,58,6.83,8446
237,1,Ideal,F,VS2,62.6,57,6.4,6804
238,0.9,Very Good,D,SI2,60.3,63,6.12,3534
239,0.91,Very Good,H,VS1,63.4,56,6.18,4224
240,0.41,Ideal,D,VVS2,62.5,57,4.75,1181
241,0.39,Ideal,E,SI1,61.1,55,4.74,628
242,1.28,Premium,H,SI2,60.2,58,7.13,6093
243,0.32,Very Good,G,VS2,60.9,58,4.42,564
244,0.25,Good,D,VVS2,57.5,61,4.16,548
245,1.01,Very Good,G,VVS1,61.8,59,6.47,8373
246,0.31,Ideal,H,SI1,61.5,55,4.39,464
247,0.9,Ideal,E,SI2,62.6,57,6.13,3808
248,0.71,Ideal,I,SI1,62.2,55,5.7,2376
249,0.44,Good,E,VS2,59,64,5.01,1001
250,0.33,Premium,I,VVS2,62.1,56,4.45,743
251,0.56,Ideal,G,IF,62,56,5.3,2442
252,0.24,Very Good,E,VVS2,60,57,4.07,552
253,0.36,Very Good,F,SI1,60.7,54,4.64,641
254,0.41,Ideal,D,VS2,62.8,55,4.73,1076
255,0.31,Ideal,F,IF,62.2,55,4.35,921
256,0.52,Very Good,G,VS1,62.3,58,5.14,1629
257,0.43,Ideal,D,SI1,61.6,56,4.86,1036
258,1.53,Premium,G,VS1,61,60,7.43,14344
259,0.41,Ideal,I,IF,,57,4.78,953
260,0.59,Ideal,E,VS2,61.4,58,5.38,1657
261,0.4,Very Good,F,SI1,63.1,58,4.69,882
262,0.71,Premium,D,VS2,58.7,61,5.88,2968
263,1.09,Ideal,F,VVS2,62.5,55,6.6,9845
264,2.11,Premium,G,SI2,62.2,60,8.19,16336
265,0.34,Ideal,G,VVS1,60.5,55,4.53,844
266,0.71,Very Good,E,SI2,62.2,58,5.68,2313
267,0.43,Ideal,D,VS2,62,55,4.86,1129
268,0.38,Ideal,H,SI1,61.2,56,4.68,834
269,1.17,Very Good,G,SI1,63.3,61,6.65,5025
270,1.22,Ideal,G,VS2,62,55,6.83,7923
271,0.5,Ideal,G,VVS1,62.2,54,5.1,1883
272,0.55,Ideal,F,VVS2,61.5,57,5.24,2294
273,0.41,Ideal,H,VVS2,62,56,4.74,899
274,0.82,Premium,G,SI2,62.3,58,5.96,2456
275,0.39,Ideal,G,VS2,62.5,54,4.67,857
276,0.53,Very Good,J,VS2,60.9,59,5.2,1023
277,0.51,Very Good,G,VVS2,61.7,58,5.13,1875
278,0.23,Very Good,F,VS1,59.8,57,4.04,402
279,0.36,Premium,E,VS2,61.3,60,4.59,1013
280,0.46,Good,D,VS2,63.2,56,4.89,1205
281,0.7,Good,H,VVS1,62.7,56,5.6,2877
282,2.11,Premium,E,SI2,62.4,61,8.19,18034
283,0.7,Premium,E,SI1,59.7,60,5.81,2394
284,2.43,Ideal,I,SI2,62.3,59,8.54,17856
285,0.3,Ideal,E,VS2,61.3,57,4.33,844
286,0.51,Very Good,G,VS1,62.7,56,5.08,1656
287,1.03,Premium,J,SI1,61.1,61,6.49,3749
288,0.7,Very Good,F,VVS2,58.7,63,5.82,3234
289,0.41,Premium,E,VS1,59.9,58,4.83,1079
290,0.72,Ideal,F,SI1,61.8,57,5.68,2440
291,0.77,Good,H,SI1,63,65,5.82,2393
292,0.35,Ideal,I,VS1,60.9,57,4.59,709
293,0.38,Ideal,D,VS1,62.5,56,4.64,1067
294,0.31,Premium,G,VS1,62.1,58,4.31,625
295,0.54,Ideal,G,VVS2,61,56,5.25,1985
296,0.32,Ideal,G,VVS2,61.6,55,4.4,708
297,0.4,Ideal,D,SI1,61.8,55,4.74,772
298,0.35,Ideal,F,VVS2,62.1,56,4.52,745
299,0.31,Very Good,E,SI1,63.2,59,4.33,698
300,1.65,Ideal,J,SI1,62.5,56,7.59,8334
301,1.69,Ideal,F,SI1,63,57,7.62,13872
302,0.33,Ideal,E,VS1,61.1,56,4.45,850
303,0.52,Very Good,E,VS1,59.1,58,5.31,1875
304,0.35,Very Good,H,SI2,63.2,61,4.49,551
305,0.42,Very Good,F,VS1,60.9,58,4.84,910
306,0.7,Good,F,SI1,64.1,56,5.63,2289
307,0.9,Very Good,I,VS2,63.4,57,6.07,3489
308,0.71,Very Good,J,SI2,60.9,55,5.76,1986
309,0.84,Good,G,VS1,63.6,57,5.98,3316
310,0.54,Premium,D,SI1,62.6,57,5.21,1650
311,0.7,Ideal,H,SI2,59.9,57,5.77,2142
312,0.57,Ideal,F,VVS1,62.5,56,5.27,2682
313,0.56,Ideal,I,VS2,62.1,54,5.3,1237
314,0.71,Premium,F,VS1,,58,5.71,2879
315,0.59,Ideal,H,VS2,62.2,59,5.38,1648
316,0.41,Ideal,G,SI2,61.3,56,4.78,605
317,1.04,Ideal,D,IF,61.8,57,6.49,14494
318,0.38,Premium,F,VS2,60.9,56,4.72,1026
319,0.9,Very Good,D,SI1,62.5,59,6.11,4579
320,0.73,Ideal,E,VS2,62.4,57,5.75,3201
321,0.3,Good,H,SI1,63.4,60,4.23,432
322,0.71,Ideal,D,VVS2,61.6,56,5.69,4222
323,0.7,Good,H,VS2,63.8,60,5.59,2083
324,0.32,Ideal,J,IF,62.2,56,4.37,533
325,1.74,Ideal,D,SI2,64.5,56,7.56,12361
326,0.57,Ideal,D,VS2,61.8,56,5.31,1998
327,1.11,Premium,E,SI2,62.5,58,6.63,4664
328,0.34,Premium,G,VS2,60.3,58,4.49,596
329,0.8,Very Good,E,VS1,62.4,54,5.98,4495
330,1.83,Premium,I,SI1,62.9,55,7.9,11883
331,0.9,Premium,G,I1,61.3,59,6.2,1777
332,0.7,Ideal,H,VS2,62.4,58,5.67,2429
333,0.32,Ideal,E,VVS2,61.3,55,4.41,1010
334,1.51,Premium,G,SI1,61.6,59,7.32,10739
335,1.5,Fair,G,VS2,64.4,56,7.16,12787
336,0.23,Very Good,E,VVS1,61.8,59,3.9,530
337,1.52,Premium,D,SI2,60.6,62,7.42,9561
338,1.25,Premium,J,SI2,61.5,57,7,4690
339,0.52,Very Good,F,VS2,63.9,57,5.08,1550
340,1.02,Premium,G,SI2,62.9,59,6.4,4370
341,1.16,Premium,G,VS1,61.9,58,6.76,8107
342,0.42,Premium,D,VS2,61.3,58,4.8,825
343,0.42,Ideal,D,SI1,61.5,56,4.85,1040
344,2.01,Very Good,H,SI1,63.5,57,7.96,14725
345,0.51,Very Good,E,VS1,,54.7,5.12,1970
346,1.15,Ideal,H,I1,62,55,6.76,3606
347,0.7,Ideal,G,VS1,60.6,57,5.73,3384
348,0.42,Ideal,G,VS2,61.6,56,4.82,847
349,1.5,Premium,H,SI1,62.4,58,7.33,9697
350,0.44,Good,J,VS1,63.1,57,4.83,694
351,1.7,Premium,I,VS2,61.7,59,7.63,11257
352,0.96,Fair,F,SI2,65.2,58,6.14,3688
353,1.02,Very Good,H,VS2,62.5,56,6.42,5217
354,0.7,Very Good,E,SI1,61.7,62,5.64,2569
355,1.01,Good,G,SI1,60.7,59,6.35,4672
356,0.6,Premium,D,SI1,62.9,58,5.39,1799
357,0.9,Very Good,G,VS2,61.5,60,6.13,4386
358,1.13,Very Good,E,SI1,62.7,57,6.62,4922
359,0.91,Premium,H,VS2,60.6,58,6.3,4293
360,0.31,Ideal,E,IF,61.9,56,4.35,1060
361,1.02,Very Good,F,SI2,58.7,63,6.49,3875
362,1.51,Very Good,E,SI2,62.8,59,7.24,9058
363,1.06,Very Good,G,I1,60.7,63,6.59,2080
364,1.51,Premium,D,SI1,62.2,59,7.34,10122
365,1.24,Ideal,I,SI1,61.1,60,6.94,5976
366,0.73,Ideal,G,VS2,62.5,56,5.78,2586
367,0.41,Ideal,D,VS2,61.7,56,4.81,1076
368,0.29,Very Good,I,VS2,,55,4.25,384
369,0.53,Ideal,J,SI2,61.9,54,5.2,856
370,1.5,Premium,E,SI2,61.5,60,7.29,7182
371,0.3,Good,F,IF,60,63,4.3,742
372,0.32,Ideal,E,VS2,62.3,54,4.4,900
373,0.81,Premium,H,SI2,60,59,6.03,2344
374,0.27,Premium,E,VVS1,60.6,58,4.2,799
375,1.39,Ideal,J,VS2,60.9,57,7.2,6831
376,0.33,Very Good,F,VVS2,61.6,57,4.44,801
377,0.32,Ideal,I,VS1,62.4,54,4.38,523
378,0.9,Ideal,F,SI2,61.8,56,6.18,4593
379,0.31,Good,G,VS2,63.1,58,4.3,544
380,0.4,Premium,E,VS1,60.1,58,4.76,1125
381,0.32,Very Good,H,VVS1,61.2,57,4.39,672
382,1.22,Ideal,F,VVS1,61.2,57,6.88,13029
383,0.38,Ideal,E,VVS2,62,57,4.64,1030
384,0.71,Very Good,D,VVS2,62.3,60,5.65,3799
385,0.71,Very Good,G,SI2,63.2,59,5.6,2107
386,1.05,Very Good,G,SI1,61.6,57,6.51,5197
387,1.04,Ideal,F,SI1,61.3,56,6.55,5882
388,0.71,Ideal,F,VS1,61.1,57,5.76,3013
389,0.42,Ideal,E,SI1,62.1,55,4.81,953
390,0.44,Ideal,D,VS1,61.1,56,4.95,1294
391,0.41,Very Good,F,SI1,63.4,58,4.75,852
392,0.5,Ideal,H,VS1,61.1,56,5.1,1637
393,0.58,Ideal,E,VS2,61.8,57,5.32,1903
394,0.3,Ideal,E,VVS2,61.8,56,4.35,1013
395,1.18,Very Good,G,VS2,62.7,54.7,6.74,8411
396,0.91,Ideal,H,SI1,62,56,6.19,4337
397,1.2,Ideal,F,VVS1,61.1,55,6.86,13088
398,0.33,Premium,F,SI2,62.3,58,4.43,557
399,0.34,Ideal,F,VVS1,61.7,55,4.51,959
400,0.32,Premium,G,VS2,62.3,58,4.41,720
401,0.38,Very Good,E,SI2,62.5,61,4.59,590
402,0.26,Very Good,E,VVS2,61.4,57,4.1,506
403,0.52,Very Good,G,SI1,61.7,57,5.13,1311
404,2,Good,J,I1,63.6,62,7.97,6521
405,0.76,Ideal,E,VS2,61.6,56,5.85,3864
406,1.09,Ideal,G,SI1,62.2,56,6.6,4970
407,0.25,Good,D,VS1,57.6,60,4.15,399
408,0.71,Good,E,VS2,62.8,60,5.6,2836
409,0.41,Fair,D,VVS2,64.5,57,4.68,1089
410,2.27,Premium,J,VS1,62.4,58,8.41,17149
411,1.01,Premium,G,VVS2,63,61,6.36,7665
412,0.75,Very Good,E,SI1,62.9,57,5.79,2753
413,0.72,Premium,J,SI1,62.1,59,5.75,1987
414,2.36,Ideal,H,SI2,62.2,55,8.51,17569
415,1.01,Ideal,G,VS2,62.7,54,6.43,6937
416,1.03,Very Good,F,SI2,61.1,59,6.51,4218
417,0.7,Very Good,E,SI1,61.2,57,5.68,2753
418,0.3,Premium,G,VS2,61.6,60,4.33,675
419,1.51,Ideal,F,VS2,62.2,53,7.35,13771
420,0.3,Premium,F,VS1,60.5,60,4.29,658
421,0.71,Ideal,I,VVS1,62.3,56,5.7,2606
422,0.36,Ideal,D,VS2,61.3,55,4.58,928
423,0.9,Ideal,G,SI2,,56,6.14,3500
424,0.35,Premium,J,VS1,62.4,58,5.67,949
425,0.7,Very Good,H,SI1,62.6,57,5.64,1830
426,1,Premium,I,SI1,62.2,62,6.39,3360
427,0.3,Ideal,G,SI1,62.2,57,4.26,477
428,0.9,Good,I,SI2,60.9,63,6.13,2680
429,1.02,Fair,D,SI1,70.6,57,6.08,4398
430,0.26,Very Good,I,SI1,59.2,60,4.2,445
431,0.33,Ideal,D,VS1,61.7,55,4.48,1007
432,0.51,Good,D,SI2,63.9,55,5.1,1268
433,1.2,Ideal,H,VS2,59.9,57,6.91,6487
434,0.25,Very Good,F,VVS1,62.2,56,4.02,633
435,0.51,Good,F,SI1,63.6,56,5.11,1312
436,0.9,Good,I,VVS2,62.9,61,6.1,3946
437,1.07,Very Good,D,SI1,61.8,61,6.54,5767
438,0.3,Ideal,E,SI2,62.1,54,4.32,401
439,2.01,Premium,J,VS2,60.5,60,8.13,13400
440,1.04,Premium,F,VVS2,59.2,58,6.68,8722
441,2.01,Very Good,J,SI1,59.3,62,8.15,12257
442,0.71,Very Good,H,SI1,,57,5.65,2207
443,0.5,Very Good,D,VS2,63.8,56,5.05,1580
444,0.59,Premium,E,SI1,61.8,60,5.39,1789
445,1,Ideal,D,SI1,60.2,57,6.48,4774
446,0.31,Ideal,D,VS2,61.8,57,4.38,942
447,0.7,Good,F,VS1,59.4,62,5.71,2759
448,0.51,Very Good,H,VS1,60.7,56,5.18,1628
449,1.52,Premium,H,SI2,62.6,60,7.34,6086
450,0.91,Very Good,E,SI2,62.8,61,6.07,3703
451,0.95,Premium,G,SI2,59.7,61,6.35,3830
452,0.7,Very Good,D,SI1,62.6,57,5.67,2726
453,0.53,Premium,E,SI1,61.8,60,5.21,2099
454,1.71,Premium,G,SI1,60.6,58,7.79,13666
455,0.93,Premium,G,VS1,62.1,59,6.21,4793
456,0.61,Ideal,E,VS2,61.3,55,5.48,2373
457,1.01,Premium,G,SI1,61.5,59,6.48,5006
458,1.01,Ideal,G,SI1,62.3,57,6.41,4694
459,0.7,Ideal,E,VS1,60.5,56,5.78,3419
460,2.48,Ideal,I,SI2,62.3,57,8.64,12883
461,1.04,Premium,E,SI2,62.4,57,6.51,4892
462,1.06,Ideal,H,SI1,60.8,54,6.64,4602
463,0.44,Very Good,E,SI1,62.9,58,4.85,810
464,0.9,Very Good,H,VS2,62.6,59,6.07,5502
465,1.52,Ideal,H,VS1,60.1,60,7.54,11946
466,0.31,Ideal,H,VVS1,62.6,53,4.35,687
467,1.13,Very Good,H,SI1,60.1,60,6.73,4959
468,0.91,Good,D,SI2,64.1,62,6.06,3349
469,0.53,Good,G,SI1,63.8,56,5.14,1268
470,0.31,Ideal,E,VS1,62.1,54.2,4.31,726
471,1.28,Ideal,H,SI2,61.8,57,7,5676
472,1.51,Ideal,G,VS1,61.9,57,7.37,14674
473,0.41,Premium,F,VVS2,61,59,4.82,1192
474,0.28,Ideal,F,VS2,61.8,54,4.18,490
475,1.23,Premium,H,VS2,59.3,58,7,5979
476,0.36,Ideal,H,IF,61.9,57,4.6,1013
477,2.03,Very Good,I,VS1,63.2,60,8.01,15086
478,0.55,Ideal,E,SI1,60.9,56,5.32,1556
